"Course ID","Subject code","Catalog Number","Offering Unit","Course Title","Course Description","Min Units","Max Units","Repeatable for Credit","Total Completions Allowed","Total Units Allowed","Grading Basis","Components","Course Attributes","Enrollment Requirements","Course Requisites"
"039663","CSC","101","Computer Science","Introduction to Computer Science","This course is intended for students who have no prior programming experience. Several core concepts in computer science will be presented, including problem-solving techniques, data representation, logic, and the physical components of computer hardware. Students will leave this course with basic programming and problem-solving skills, increased technical literacy, and a greater ability to recognize problems that can be solved with technology.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","-","-"
"039368","CSC","110","Computer Science","Introduction to Computer Programming I","An introduction to programming with an emphasis on solving problems drawn from a variety of domains. Topics include basic control and data structures, problem solving strategies, and software development tools and techniques.","4","4","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","PPL 60+ or SAT I MSS 640+ or ACT MATH 26+ or (C or higher in [MATH 112 or MATH 108]) or one courses from MATH 113, 116, 120R, 122A, 122B, or 125. Test scores expire after 2 years.","-"
"039370","CSC","120","Computer Science","Introduction to Computer Programming II","Provides a continuing introduction to programming with an emphasis on problem­solving. It considers problems drawn from a variety of domains (including Computer Science) and emphasizes both the broader applicability of the relevant data structures and programming concepts, as well as the implementation of those structures and concepts in software. Topics include arrays, lists, stacks, queues, trees, searching and sorting, and exceptions.","4","4","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","C or higher in (CSC 110 or ISTA 130 or ECE 101 or ECE 175) or appropriate score on department CSC 110 bypass exam. Contact CS advisor for bypass exam information.","-"
"042000","CSC","144","Computer Science","Discrete Mathematics for Computer Science I","The first of a two-course sequence introducing mathematical concepts for Computer Science. Topics include: propositional and predicate logic; proofs; sets, matrices, relations, and functions; integers and modular arithmetic.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","[C or higher (CSC 110, ISTA 130, ECE 175, or ECE 101) or prior prog. lang. exp. w/dept. approval] AND [PPL 60+ or SAT I MSS 640+ or ACT MATH 26+ or(C or higher in MATH 108 or 112)or 1 from MATH 113,116,120R,122A,122B,or125. Test scores exp. after 2 yrs]","-"
"043732","CSC","196","Computer Science","Special Topics in Computer Science Seminar","This undergraduate seminar studies special topics in Computer Science within a small group format. Through selected readings, presentations, and group discussions, students will take a discussion-based learning approach. Specific topics will be determined by current topics of interest by the instructor and in special cases, the students.","1","3","Yes","2","6","GRD - Regular Grades A, B, C, D, E","Seminar","-","-","-"
"009777","CSC","199","Computer Science","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009778","CSC","199H","Computer Science","Honors Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course)","Student must be active in the Honors College.","-"
"039371","CSC","210","Computer Science","Software Development","An introduction to the development of large­ scale software. Topics include modularization, design patterns, documentation, unit testing, source code control, build systems, debuggers, and performance tuning; all of the tools necessary for developing software as opposed to writing small programs.","4","4","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","C or higher in CSC 120.","-"
"042001","CSC","244","Computer Science","Discrete Mathematics for Computer Science II","A second course in mathematical concepts for computer science. The topics covered include recursive definitions, recurrence relations, induction, graphs, trees, combinatorics, and discrete probability.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","C or better in CSC 120 and [C or better in CSC 144 or MATH 243 or MATH 323].","-"
"009783","CSC","252","Computer Science","Computer Organization","Basic machine organization; elementary hardware concepts; CPU internals. Machine operations and instructions; assembly language concepts and programming.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Discussion; Lecture","-","CSC 210","-"
"042621","CSC","296","Computer Science","Special Topics in Computer Science Seminar","This undergraduate seminar studies special topics in Computer Science within a small group format. Through selected readings, presentations, and group discussions, students will take a discussion-based learning approach. Specific topics will be determined by current topics of interest by the instructor and in special cases, the students.","1","3","Yes","2","6","GRD - Regular Grades A, B, C, D, E","Seminar","-","-","-"
"038222","CSC","296B","-","Seminar in Bioinformatics","This seminar course provides an overview of and introduction to the field of bioinformatics. Talks by faculty who do research in bioinformatics and computational biology, as well as by scientists from the biotechnology industry, give a sense of the current directions in the field.","1","1","Yes","2","2","SPF - Alternative Grading S, P, F","Seminar","CE - CL (Cross Listed)","-","-"
"009786","CSC","299","Computer Science","Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","4","Yes","99","999","SPF - Alternative Grading S, P, F","Independent Study","-","-","-"
"009787","CSC","299H","Computer Science","Honors Independent Study","Qualified students working on an individual basis with professors who have agreed to supervise such work.","1","3","Yes","99","999","GRD - Regular Grades A, B, C, D, E","Independent Study","HNRS - HCRS (Honors Course)","Student must be active in the Honors College.","-"
"040555","CSC","317","Computer Science","Mobile Application Programming","Students will learn how to develop applications for mobile devices. The course will cover the necessary programming language(s), development environment, and a number of platform-specific APIs commonly used in mobile applications such as maps, location services, notifications, camera, and local storage. Other mobile-specific software development topics will be considered such as programming with limited computational and battery resources, client/server architecture, and cloud synchronization.","3","3","No","-","-","GRD - Regular Grades A, B, C, D, E","Lecture","-","CSC 210 or equivalent software development experience. Contact the instructor to determine if your background will suffice. Students may not have completed or be enrolled in CSCV 381.","-"
